shop_name,product_name,product_image,product_url,product_review_count,product_talk_count,price,rating_average,count_sold,revenue,kelas
Lenovo Official,Lenovo ThinkBook 14 IIL Core i7-1065G7 16 GB 1T SSD Win10+OHS,https://images.tokopedia.net/img/VqbcmM/2021/1/7/89e44ba8-0bb4-447a-b8ed-488fe0bc8cd1.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-14-iil-core-i7-1065g7-16-gb-1t-ssd-win10-ohs,6,5,14599000,5.0,10,145990000,Atas
Lenovo Official,Lenovo Thinkpad L14 Core i7-10510U 16 GB 1T SSD Win10 Pro,https://images.tokopedia.net/img/VqbcmM/2021/2/14/7bbd4925-5d5a-430e-8c57-5193ce9ca8ea.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkpad-l14-core-i7-10510u-16-gb-1t-ssd-win10-pro,25,13,18299000,5.0,55,1006445000,Atas
Lenovo Official,Lenovo IdeaPad Gaming 3 15IMH05 Core i7-10750H 16GB 512 SSD GTX 1650Ti,https://images.tokopedia.net/img/VqbcmM/2021/2/8/26d3a95c-1cea-493c-92ff-2f95b854135e.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-gaming-3-15imh05-core-i7-10750h-16gb-512-ssd-gtx-1650ti,22,12,16249000,5.0,26,422474000,Atas
Lenovo Official,Lenovo Yoga Slim 7 AMD Ryzen 7 4800U 16GB 1T SSD Win10 OHS,https://images.tokopedia.net/img/attachment/2021/3/24/65580410/65580410_996adb89-d805-4e12-bd65-d25d94325682.jpg,https://www.tokopedia.com/lenovo-official/lenovo-yoga-slim-7-amd-ryzen-7-4800u-16gb-1t-ssd-win10-ohs-slate-grey,17,13,16899000,4.8,25,422475000,Atas
Lenovo Official,Lenovo ThinkBook 13s IML Core i5-10210U 16GB 512 SSD WIN10 + OHS,https://images.tokopedia.net/img/VqbcmM/2020/12/30/6daad06a-3247-4265-8cf5-a6c030deb9f9.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkbook-13s-iml-core-i5-10210u-16gb-512-ssd-win10-ohs,4,1,12999000,5.0,5,64995000,Atas
Lenovo Official,Lenovo IdeaCentre G5 14AMR05 Ryzen 7 3700X 512SSD RTX 2060 6GB,https://images.tokopedia.net/img/VqbcmM/2020/12/25/9e30ff5a-c60a-41a5-a4b3-d2dce3a7f4fc.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideacentre-g5-14amr05-ryzen-7-3700x-512ssd-rtx-2060-6gb,1,1,18999000,4.0,2,37998000,Atas
Lenovo Official,Lenovo Legion 5 15ARH0 Ryzen 7 4800H 16 GB 512 SSD GeForceRTX 2060 6GB,https://images.tokopedia.net/img/VqbcmM/2021/2/8/e0569070-d34a-40ce-8acb-11616a289f68.jpg,https://www.tokopedia.com/lenovo-official/lenovo-legion-5-15arh0-ryzen-7-4800h-16-gb-512-ssd-geforcertx-2060-6gb,9,6,21999000,5.0,14,307986000,Atas
Lenovo Official,Lenovo Legion 5 15ARH0 Ryzen 7 4800H 16 GB 512 SSD GTX 1650 Ti 4GB,https://images.tokopedia.net/img/VqbcmM/2021/2/8/3e0b0ed5-f8c0-45db-9cbf-d516ec6c8beb.jpg,https://www.tokopedia.com/lenovo-official/lenovo-legion-5-15arh0-ryzen-7-4800h-16-gb-512-ssd-gtx-1650-ti-4gb,12,14,17299000,4.8,15,259485000,Atas
Lenovo Official,Lenovo Thinkpad E14 Core i7-10510U 16 GB 1T SSD Win 10 Pro,https://images.tokopedia.net/img/VqbcmM/2020/12/30/3c57f414-15f0-4bb2-821e-05422dfc6910.jpg,https://www.tokopedia.com/lenovo-official/lenovo-thinkpad-e14-core-i7-10510u-16-gb-1t-ssd-win-10-pro,5,2,17999000,5.0,16,287984000,Atas
Lenovo Official,LENOVO Ideapad Flex 5 Core i3-1115G4 8GB 512GB SSD Win10 + OHS,https://images.tokopedia.net/img/VqbcmM/2021/3/9/b4fb872b-7490-490d-b344-f129517b3f67.jpg,https://www.tokopedia.com/lenovo-official/lenovo-ideapad-flex-5-core-i3-1115g4-8gb-512gb-ssd-win10-ohs-graphite-grey,41,21,9999000,4.9,54,539946000,Menengah
Lenovo Official,Lenovo Legion 5 15ARH0 Ryzen 7 4800H 16 GB 512 SSD RTX 2060 6GB,https://images.tokopedia.net/img/VqbcmM/2020/12/11/e9c6ef6b-17cc-4588-8e54-6c015ce663f1.jpg,https://www.tokopedia.com/lenovo-official/lenovo-legion-5-15arh0-ryzen-7-4800h-16-gb-512-ssd-rtx-2060-6gb,7,7,21999000,5.0,9,197991000,Atas
